Disease,Description,Treatment,Prevention
Bovine Respiratory Disease,"lethargy, rapid breathing, high temperature, coughing","Isolate the affected animal, ensure fresh air and shade, and reduce stress. Keep the animal hydrated and consult a vet promptly.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Pinkeye,"eye inflammation, sensitivity to light, corneal ulceration, eye inflammation","Move animal to a shaded area, clean the affected eye with saline solution, and protect from dust and flies.","Fly control, isolation of affected animals, and avoiding dusty conditions."
Tuberculosis,"weight loss, swollen lymph nodes",Isolate the infected animal immediately. Prevent contact with herd. Notify veterinary services for proper testing and action.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Mastitis,"swollen udder, abnormal milk, pain in udder","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Tuberculosis,"coughing, swollen lymph nodes",Isolate the infected animal immediately. Prevent contact with herd. Notify veterinary services for proper testing and action.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Bovine Respiratory Disease,"fever, coughing, not eating, red urine","Isolate the affected animal, ensure fresh air and shade, and reduce stress. Keep the animal hydrated and consult a vet promptly.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Leptospirosis,"jaundice, reduced milk production, high temperature, abortion, red urine","Isolate the animal, provide clean water and rest. Avoid contact with bodily fluids and disinfect contaminated areas.","Vaccination, rodent control, and avoid contaminated water sources."
Bovine Viral Diarrhea,"not eating, diarrhea",Isolate the affected animal. Maintain hydration using electrolyte solutions and avoid stress-inducing activities.,"Vaccination, testing and removal of PI animals, and biosecurity measures."
Pinkeye,"sensitivity to light, corneal ulceration","Move animal to a shaded area, clean the affected eye with saline solution, and protect from dust and flies.","Fly control, isolation of affected animals, and avoiding dusty conditions."
Blackleg,"lameness, swelling, dehydration",Do not move the animal. Provide comfortable conditions and isolate from the herd. Seek vet assistance immediately.,"Vaccination, proper disposal of dead animals, and avoid contaminating pastures."
Bovine Respiratory Disease,"coughing, rapid breathing, nasal discharge","Isolate the affected animal, ensure fresh air and shade, and reduce stress. Keep the animal hydrated and consult a vet promptly.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Foot and Mouth Disease,"blisters on mouth, reduced milk production","Isolate animal, provide soft bedding and soft feed. Disinfect affected areas and limit movement to prevent spread.","Strict biosecurity, movement controls, and reporting to authorities."
Ringworm,"hair loss, circular skin lesions","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Bloat,"difficulty breathing, discomfort, excessive salivation, distended left abdomen",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Ringworm,"circular skin lesions, crusty skin patches, hair loss","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Brucellosis,"swollen joints, reduced milk production, abortion, fever, retained placenta",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Foot and Mouth Disease,"lameness, reduced milk production","Isolate animal, provide soft bedding and soft feed. Disinfect affected areas and limit movement to prevent spread.","Strict biosecurity, movement controls, and reporting to authorities."
Ringworm,"hair loss, crusty skin patches, circular skin lesions, weakness","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Mastitis,"reduced milk production, swollen udder, pain in udder, abnormal milk, high temperature","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Blackleg,"depression, fever",Do not move the animal. Provide comfortable conditions and isolate from the herd. Seek vet assistance immediately.,"Vaccination, proper disposal of dead animals, and avoid contaminating pastures."
Bovine Respiratory Disease,"nasal discharge, fever, loss of appetite","Isolate the affected animal, ensure fresh air and shade, and reduce stress. Keep the animal hydrated and consult a vet promptly.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Johne's Disease,"weakness, weight loss, diarrhea","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Bovine Viral Diarrhea,"oral erosions, loss of appetite, diarrhea, nasal discharge",Isolate the affected animal. Maintain hydration using electrolyte solutions and avoid stress-inducing activities.,"Vaccination, testing and removal of PI animals, and biosecurity measures."
Foot and Mouth Disease,"drooling, blisters on feet, fever, lameness, blisters on mouth","Isolate animal, provide soft bedding and soft feed. Disinfect affected areas and limit movement to prevent spread.","Strict biosecurity, movement controls, and reporting to authorities."
Foot and Mouth Disease,"drooling, reduced milk production, lameness, blisters on mouth, fever, blisters on feet","Isolate animal, provide soft bedding and soft feed. Disinfect affected areas and limit movement to prevent spread.","Strict biosecurity, movement controls, and reporting to authorities."
Bovine Viral Diarrhea,"nasal discharge, not eating",Isolate the affected animal. Maintain hydration using electrolyte solutions and avoid stress-inducing activities.,"Vaccination, testing and removal of PI animals, and biosecurity measures."
Pinkeye,"eye inflammation, corneal ulceration","Move animal to a shaded area, clean the affected eye with saline solution, and protect from dust and flies.","Fly control, isolation of affected animals, and avoiding dusty conditions."
Ringworm,"hair loss, crusty skin patches, crusty skin patches","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Anaplasmosis,"jaundice, depression","Minimize stress, keep the animal in a shaded and quiet area. Ensure clean water and prepare for vet consultation.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Brucellosis,"fever, retained placenta",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Leptospirosis,"fever, abortion","Isolate the animal, provide clean water and rest. Avoid contact with bodily fluids and disinfect contaminated areas.","Vaccination, rodent control, and avoid contaminated water sources."
Tetanus,"difficulty swallowing, lockjaw, muscle stiffness","Keep the animal in a quiet, dark place. Avoid loud noise or stress. Immobilize to prevent injury and call a vet urgently.","Vaccination, proper wound care, and clean environment."
Mastitis,"pain in udder, fever, swollen udder, reduced milk production, abnormal milk","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Mastitis,"high temperature, swollen udder, reduced milk production, abnormal milk, pain in udder","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Johne's Disease,"weight loss, decreased milk production","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Blackleg,"fever, swelling, depression, loss of appetite",Do not move the animal. Provide comfortable conditions and isolate from the herd. Seek vet assistance immediately.,"Vaccination, proper disposal of dead animals, and avoid contaminating pastures."
Johne's Disease,"weight loss, decreased milk production, diarrhea","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Johne's Disease,"diarrhea, weight loss","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Tetanus,"lockjaw, difficulty swallowing","Keep the animal in a quiet, dark place. Avoid loud noise or stress. Immobilize to prevent injury and call a vet urgently.","Vaccination, proper wound care, and clean environment."
Ringworm,"circular skin lesions, crusty skin patches, hair loss","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Ringworm,"hair loss, crusty skin patches, circular skin lesions","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Bloat,"discomfort, difficulty breathing",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Anaplasmosis,"anemia, fever, depression","Minimize stress, keep the animal in a shaded and quiet area. Ensure clean water and prepare for vet consultation.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Bovine Viral Diarrhea,"nasal discharge, oral erosions, fever, loss of appetite, diarrhea",Isolate the affected animal. Maintain hydration using electrolyte solutions and avoid stress-inducing activities.,"Vaccination, testing and removal of PI animals, and biosecurity measures."
Johne's Disease,"weight loss, weakness","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Tetanus,"lockjaw, difficulty swallowing, muscle stiffness, hypersensitivity to stimuli","Keep the animal in a quiet, dark place. Avoid loud noise or stress. Immobilize to prevent injury and call a vet urgently.","Vaccination, proper wound care, and clean environment."
Pinkeye,"eye inflammation, excessive tearing, sensitivity to light","Move animal to a shaded area, clean the affected eye with saline solution, and protect from dust and flies.","Fly control, isolation of affected animals, and avoiding dusty conditions."
Johne's Disease,"diarrhea, weakness, weight loss","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Mastitis,"pain in udder, abnormal milk","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Salmonellosis,"fever, weakness, loss of appetite, diarrhea, dehydration",Isolate the animal and disinfect contaminated areas. Maintain hydration and hygiene. Provide bland diet and avoid spreading through feces.,"Improve hygiene, water quality, and feed management."
Brucellosis,"abortion, reduced milk production, retained placenta, swollen joints",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Mastitis,"fever, abnormal milk, pain in udder, reduced milk production","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Tuberculosis,"fever, swollen lymph nodes",Isolate the infected animal immediately. Prevent contact with herd. Notify veterinary services for proper testing and action.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Mastitis,"swollen udder, abnormal milk, reduced milk production, high temperature","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Ringworm,"hair loss, circular skin lesions, crusty skin patches","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Foot and Mouth Disease,"drooling, blisters on mouth, lameness, fever, blisters on feet, reduced milk production","Isolate animal, provide soft bedding and soft feed. Disinfect affected areas and limit movement to prevent spread.","Strict biosecurity, movement controls, and reporting to authorities."
Bloat,"excessive salivation, difficulty breathing, discomfort",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Anaplasmosis,"depression, anemia","Minimize stress, keep the animal in a shaded and quiet area. Ensure clean water and prepare for vet consultation.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Bloat,"excessive salivation, discomfort, distended left abdomen",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Bovine Respiratory Disease,"not eating, lethargy, high temperature, rapid breathing, nasal discharge","Isolate the affected animal, ensure fresh air and shade, and reduce stress. Keep the animal hydrated and consult a vet promptly.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Ringworm,"circular skin lesions, crusty skin patches, hair loss","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Leptospirosis,"red urine, fever, abortion","Isolate the animal, provide clean water and rest. Avoid contact with bodily fluids and disinfect contaminated areas.","Vaccination, rodent control, and avoid contaminated water sources."
Leptospirosis,"reduced milk production, red urine, high temperature","Isolate the animal, provide clean water and rest. Avoid contact with bodily fluids and disinfect contaminated areas.","Vaccination, rodent control, and avoid contaminated water sources."
Bloat,"difficulty breathing, discomfort, decreased milk production",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Foot and Mouth Disease,"drooling, lameness","Isolate animal, provide soft bedding and soft feed. Disinfect affected areas and limit movement to prevent spread.","Strict biosecurity, movement controls, and reporting to authorities."
Blackleg,"lameness, loss of appetite, swelling, depression",Do not move the animal. Provide comfortable conditions and isolate from the herd. Seek vet assistance immediately.,"Vaccination, proper disposal of dead animals, and avoid contaminating pastures."
Johne's Disease,"weakness, decreased milk production, diarrhea, weight loss","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Bovine Viral Diarrhea,"diarrhea, nasal discharge, loss of appetite, fever",Isolate the affected animal. Maintain hydration using electrolyte solutions and avoid stress-inducing activities.,"Vaccination, testing and removal of PI animals, and biosecurity measures."
Brucellosis,"high temperature, retained placenta, reduced milk production, abortion",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
